hiName,hiTypeUri,platform,productBrand,pricePoint,specialDevice,shellType/Segment,BatterySize,shelltype_subite,receiverType,isRechargeable,compatiblechargers,supportsBluetooth,supportsasha,userControl,supportsMotionSensor,supportsIntellizoom,supportsDomeExchange,supportsSoundBalance,supportsdigital_assistant,supportsehealth,supportsmaskmode,supportsTelecare,supportsTelecoil,TinnitusFeatures
Insio C&G 1AX ITC BT TWIN MIC+ 113/50 WL,SIV1:0/22/402500D21B33/1,D12,Signia,100,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NotAvailable
Insio C&G 1AX ITC BT TWIN MIC+ 118/55 WL,SIV1:0/22/402500D22333/1,D12,Signia,100,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NotAvailable
Insio C&G 1AX ITC BT TWIN MIC+ 124/65 WL,SIV1:0/22/402500D22B33/1,D12,Signia,100,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NotAvailable
Insio C&G 1AX ITE BT TWIN MIC+ 118/55 WL,SIV1:0/22/402500D22313/1,D12,Signia,100,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NotAvailable
Insio C&G 1AX ITE BT TWIN MIC+ 124/65 WL,SIV1:0/22/402500D22B13/1,D12,Signia,100,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NotAvailable
Insio C&G 2AX ITC BT TWIN MIC+ 113/50 WL,SIV1:0/22/402400D21B33/1,D12,Signia,200,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 2AX ITC BT TWIN MIC+ 118/55 WL,SIV1:0/22/402400D22333/1,D12,Signia,200,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 2AX ITC BT TWIN MIC+ 124/65 WL,SIV1:0/22/402400D22B33/1,D12,Signia,200,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 2AX ITE BT TWIN MIC+ 118/55 WL,SIV1:0/22/402400D22313/1,D12,Signia,200,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 2AX ITE BT TWIN MIC+ 124/65 WL,SIV1:0/22/402400D22B13/1,D12,Signia,200,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 3AX ITC BT TWIN MIC+ 113/50 WL,SIV1:0/22/402300D21B33/1,D12,Signia,300,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 3AX ITC BT TWIN MIC+ 118/55 WL,SIV1:0/22/402300D22333/1,D12,Signia,300,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 3AX ITC BT TWIN MIC+ 124/65 WL,SIV1:0/22/402300D22B33/1,D12,Signia,300,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 3AX ITE BT TWIN MIC+ 118/55 WL,SIV1:0/22/402300D22313/1,D12,Signia,300,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 3AX ITE BT TWIN MIC+ 124/65 WL,SIV1:0/22/402300D22B13/1,D12,Signia,300,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 5AX ITC BT TWIN MIC+ 113/50 WL,SIV1:0/22/402200D21B33/1,D12,Signia,500,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 5AX ITC BT TWIN MIC+ 118/55 WL,SIV1:0/22/402200D22333/1,D12,Signia,500,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 5AX ITC BT TWIN MIC+ 124/65 WL,SIV1:0/22/402200D22B33/1,D12,Signia,500,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 5AX ITE BT TWIN MIC+ 118/55 WL,SIV1:0/22/402200D22313/1,D12,Signia,500,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 5AX ITE BT TWIN MIC+ 124/65 WL,SIV1:0/22/402200D22B13/1,D12,Signia,500,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 7AX ITC BT TWIN MIC+ 113/50 WL,SIV1:0/22/402100D21B33/1,D12,Signia,700,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 7AX ITC BT TWIN MIC+ 118/55 WL,SIV1:0/22/402100D22333/1,D12,Signia,700,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 7AX ITC BT TWIN MIC+ 124/65 WL,SIV1:0/22/402100D22B33/1,D12,Signia,700,NormalHI,ITE,,ITC,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 7AX ITE BT TWIN MIC+ 118/55 WL,SIV1:0/22/402100D22313/1,D12,Signia,700,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
Insio C&G 7AX ITE BT TWIN MIC+ 124/65 WL,SIV1:0/22/402100D22B13/1,D12,Signia,700,NormalHI,ITE,,ITE,UNKNOWN,WAHR,Insio Charger,WAHR,WAHR,PushButton,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,NatTinnitusAndNoiser
